,AMO,MEI,NAO
2013.66666666667,0.234,-0.38,0.2406
2013.75,0.326,-0.16,-1.2801
2013.83333333333,0.107,-0.18,0.90082
2013.91666666667,0.015,-0.35,0.94566
2014,-0.083,-0.51,0.29026
2014.08333333333,-0.064,-0.43,1.3352
2014.16666666667,-0.102,-0.08,0.79827
2014.25,-0.115,-0.16,0.30522
2014.33333333333,-0.023,-0.18,-0.9225
2014.41666666667,0.041,-0.01,-0.97006
2014.5,0.2,0.32,0.17539
2014.58333333333,0.313,0.16,-1.6815
2014.66666666667,0.289,-0.15,1.6163
2014.75,0.271,0.07,-1.2706
2014.83333333333,0.043,0.34,0.67797
2014.91666666667,0.037,0.34,1.8575
2015,-0.03,0.23,1.7887
2015.08333333333,-0.025,0.05,1.3228
2015.16666666667,-0.151,0.13,1.4497
2015.25,-0.093,0.35,0.72535
2015.33333333333,0.023,0.96,0.14552
2015.41666666667,0.007,1.85,-0.066822
2015.5,0.11,1.73,-3.179
2015.58333333333,0.157,1.92,-0.76036
2015.66666666667,0.278,2.21,-0.64846
2015.75,0.303,2.11,0.43723
2015.83333333333,0.165,1.88,1.7438
2015.91666666667,0.207,1.9,2.2436
2016,0.209,1.94,0.11652
2016.08333333333,0.134,1.81,1.5803
2016.16666666667,0.166,1.31,0.7344
2016.25,0.155,1.33,0.37514
2016.33333333333,0.322,1.26,-0.77358
2016.41666666667,0.387,0.36,-0.43251
2016.5,0.41,-0.51,-1.7603
2016.58333333333,0.435,-0.28,-1.6453
2016.66666666667,0.436,-0.34,0.61096
2016.75,0.358,-0.6,0.41125
2016.83333333333,0.368,-0.51,-0.16366
2016.91666666667,0.313,-0.34,0.47833
2017,0.203,-0.41,0.47824
2017.08333333333,0.205,-0.41,1.0048
2017.16666666667,0.145,-0.58,0.73702
2017.25,0.261,-0.21,1.7325
2017.33333333333,0.292,0.17,-1.911
2017.41666666667,0.286,-0.29,0.045036
2017.5,0.28,-0.7,1.2556
2017.58333333333,0.288,-0.77,-1.0977
2017.66666666667,0.328,-0.8,-0.61273
2017.75,0.411,-0.63,0.18594
2017.83333333333,0.33,-0.63,-0.0048984
2017.91666666667,0.342,-0.73,0.88158
2018,0.151,-0.77,1.4423
2018.08333333333,0.04,-0.7,1.5778
2018.16666666667,0.11,-0.79,-0.9269
2018.25,0.041,-1.29,1.2411
2018.33333333333,-0.023,-0.91,2.1208
2018.41666666667,-0.033,-0.51,1.088
2018.5,-0.005,-0.17,1.3893
