"Latitude","Year","Season","AvgUp","Anomaly"
"32-33",2011,"Winter",-0.009580705616,-0.0297048805043381
"32-33",2012,"Winter",-0.00284595924,-0.0229701341283381
"32-33",2013,"Winter",0.00479815674666667,-0.0153260181416714
"32-33",2014,"Winter",0.0124421304666667,-0.00768204442167143
"32-33",2015,"Winter",0.0191698300133333,-0.000954344875004762
"32-33",2016,"Winter",0.02550984732,0.00538567243166191
"32-33",2017,"Winter",0.0339044155601333,0.0137802406717952
"32-33",2018,"Winter",0.0424141522133333,0.0222899773249952
"32-33",2019,"Winter",0.0481597396,0.0280355647116619
"32-33",2020,"Winter",0.0509482990266667,0.0308241241383286
"33-34",1993,"Winter",-0.0218340193466667,-0.0169099122049524
"33-34",1994,"Winter",-0.0102717762,-0.00534766905828572
"33-34",1995,"Winter",-0.000355121853333334,0.00456898528838095
"33-34",1996,"Winter",0.01136155796,0.0162856651017143
"33-34",1997,"Winter",0.0241372469333333,0.0290613540750476
"33-34",1998,"Winter",0.0350193654933333,0.0399434726350476
"33-34",1999,"Winter",0.0412744305333333,0.0461985376750476
"33-34",2000,"Winter",0.0453501655066667,0.0502742726483809
"33-34",2001,"Winter",0.04350921732,0.0484333244617143
"33-34",2002,"Winter",0.0349287959866667,0.0398529031283809
"33-34",2003,"Winter",0.0311994624266667,0.036123569568381
"33-34",2004,"Winter",0.0298353007466667,0.034759407888381
"33-34",2005,"Winter",0.0246465996,0.0295707067417143
"33-34",2006,"Winter",0.0110322580666667,0.015956365208381
"33-34",2007,"Winter",-0.0100446119866667,-0.00512050484495238
"33-34",2008,"Winter",-0.0330826432666667,-0.0281585361249524
"33-34",2009,"Winter",-0.04949656484,-0.0445724576982857
"33-34",2010,"Winter",-0.0548330916133333,-0.0499089844716191
"33-34",2011,"Winter",-0.0514353732666667,-0.0465112661249524
"33-34",2012,"Winter",-0.0456544988133333,-0.040730391671619
"33-34",2013,"Winter",-0.0425566326666667,-0.0376325255249524
"33-34",2014,"Winter",-0.0411578211733333,-0.036233714031619
"33-34",2015,"Winter",-0.039922132128,-0.0349980249862857
"33-34",2016,"Winter",-0.0351596287866667,-0.0302355216449524
"33-34",2017,"Winter",-0.02468609356,-0.0197619864182857
"33-34",2018,"Winter",-0.0117801268,-0.00685601965828571
"33-34",2019,"Winter",-0.00178445372,0.00313965342171429
"33-34",2020,"Winter",0.00388518948,0.00880929662171429
"34-35",1993,"Winter",0.0574090939279279,-0.00707669353684041
"34-35",1994,"Winter",0.0919598726126126,0.0274740851478443
"34-35",1995,"Winter",0.113391835630631,0.0489060481658623
"34-35",1996,"Winter",0.123198163495495,0.0587123760307272
"34-35",1997,"Winter",0.130613273657658,0.0661274861928893
"34-35",1998,"Winter",0.143922793054054,0.0794370055892857
"34-35",1999,"Winter",0.161120279693694,0.0966344922289254
"34-35",2000,"Winter",0.178142577558559,0.11365679009379
"34-35",2001,"Winter",0.184438206882883,0.119952419418115
"34-35",2002,"Winter",0.175917509684685,0.111431722219916
"34-35",2003,"Winter",0.161670513648649,0.0971847261838803
"34-35",2004,"Winter",0.145470749486487,0.0809849620217182
"34-35",2005,"Winter",0.128239410171171,0.0637536227064028
"34-35",2006,"Winter",0.110120826414414,0.0456350389496461
"34-35",2007,"Winter",0.0878658711891892,0.0233800837244209
"34-35",2008,"Winter",0.0638938509414414,-0.000591936523326897
"34-35",2009,"Winter",0.0353250019279279,-0.0291607855368404
"34-35",2010,"Winter",0.00462143262162162,-0.0598643548431467
"34-35",2011,"Winter",-0.0208053019099099,-0.0852910893746782
"34-35",2012,"Winter",-0.0413396431891892,-0.105825430653958
"34-35",2013,"Winter",-0.0514063982342342,-0.115892185699003
"34-35",2014,"Winter",-0.0528712162792793,-0.117357003744048
"34-35",2015,"Winter",-0.0468634132522523,-0.111349200717021
"34-35",2016,"Winter",-0.0375058951801802,-0.101991682644949
"34-35",2017,"Winter",-0.0301281455585586,-0.0946139330233269
"34-35",2018,"Winter",-0.0217395533333333,-0.0862253407981017
"34-35",2019,"Winter",-0.00742731374774775,-0.0719131012125161
"34-35",2020,"Winter",0.0183676670990991,-0.0461181203656692
