"Event","lat","lon","depth","temp","date","year","month","day"
"2012-1019",29.73810768,-80.45914459,36,21.21043332,2012-04-29,2012,4,29
"2012-1020",29.77235985,-80.44480133,39,20.7670002,2012-04-29,2012,4,29
"2012-1021",31.27918053,-79.86842346,51,18.58104992,2012-04-30,2012,4,30
"2012-1022",31.24639702,-79.88053131,50,19.38876661,2012-04-30,2012,4,30
"2012-1023",31.4895916,-79.74064636,69,14.88961983,2012-04-30,2012,4,30
"2012-1024",31.51222229,-79.71790314,73,15.06755018,2012-04-30,2012,4,30
"2012-1026",31.52563095,-79.75063324,58,18.07990074,2012-05-01,2012,5,1
"2012-1027",31.62756348,-80.5743103,23,23.50959969,2012-05-23,2012,5,23
"2012-1028",31.63425064,-79.6568985,70,18.56659985,2012-05-24,2012,5,24
"2012-1029",31.62046623,-79.67206573,68,18.44758056,2012-05-24,2012,5,24
"2012-1030",31.60603905,-79.68206787,67,19.11403402,2012-05-24,2012,5,24
"2012-1031",31.43554306,-80.35012054,36,23.37909985,2012-05-25,2012,5,25
"2012-1032",31.42349243,-80.36629486,37,23.37969995,2012-05-25,2012,5,25
"2012-1033",29.09549713,-80.5714798,24,24.4817009,2012-05-26,2012,5,26
"2012-1034",29.07122803,-80.53240204,21,24.41579477,2012-05-26,2012,5,26
"2012-1035",29.00899506,-80.19264984,53,20.94230535,2012-05-26,2012,5,26
"2012-1036",27.73651123,-80.13368988,26,25.07480049,2012-05-27,2012,5,27
"2012-1037",27.76469231,-80.01013947,57,22.16943296,2012-05-27,2012,5,27
"2012-1038",27.78264236,-80.00801849,58,21.97249985,2012-05-27,2012,5,27
"2012-1039",27.87876701,-80.15729523,27,24.95800018,2012-05-28,2012,5,28
"2012-1040",27.89638138,-80.02849579,51,23.68910027,2012-05-28,2012,5,28
"2012-1041",28.09310341,-80.21355438,29,25.7954998,2012-05-28,2012,5,28
"2012-1042",28.15761948,-80.2250061,26,25.53369999,2012-05-29,2012,5,29
"2012-1043",28.52535439,-80.11763,51,23.36170006,2012-05-29,2012,5,29
"2012-1044",28.60041237,-80.13109589,53,23.00979996,2012-05-29,2012,5,29
"2012-1045",31.39914322,-80.590065,27,27.07364435,2012-07-07,2012,7,7
"2012-1046",31.21961021,-79.89131165,49,25.59560013,2012-07-08,2012,7,8
"2012-1047",31.12382698,-79.91938019,51,26.16839981,2012-07-08,2012,7,8
"2012-1048",31.04616737,-80.03844452,48,26.58754921,2012-07-08,2012,7,8
"2012-1049",30.73450089,-80.22063446,44,25.6580143,2012-07-09,2012,7,9
"2012-1050",30.91256714,-80.62021637,35,24.30350018,2012-07-09,2012,7,9
"2012-1051",30.88713074,-80.61300659,34,24.43800012,2012-07-09,2012,7,9
"2012-1052",30.56702232,-80.16283417,53,19.48263359,2012-07-10,2012,7,10
"2012-1053",30.63098526,-80.21336365,46,20.48900032,2012-07-10,2012,7,10
"2012-1054",30.50415421,-80.45360565,38,21.36994934,2012-07-10,2012,7,10
"2012-1055",29.95023155,-80.28424072,55,18.53823344,2012-07-11,2012,7,11
"2012-1056",29.93274307,-80.51878357,37,16.60105038,2012-07-11,2012,7,11
"2012-1057",29.84733582,-80.52873993,37,16.64822732,2012-07-11,2012,7,11
"2012-1058",29.55169868,-80.38839722,41,19.66562004,2012-07-12,2012,7,12
"2012-1059",29.53710747,-80.38497925,42,19.38345003,2012-07-12,2012,7,12
"2012-1060",29.53117371,-80.41965485,39,19.98630047,2012-07-12,2012,7,12
"2012-1061",29.32126808,-80.50806427,32,21.4109993,2012-07-13,2012,7,13
"2012-1062",29.29907036,-80.38462067,33,20.98736,2012-07-13,2012,7,13
"2012-1063",29.14552498,-80.3105011,44,18.79432076,2012-07-14,2012,7,14
"2012-1064",29.14775276,-80.22977448,52,15.99180031,2012-07-14,2012,7,14
"2012-1065",28.96608734,-80.18388367,52,15.42775027,2012-07-14,2012,7,14
"2012-1066",28.84704971,-80.25292206,42,18.21981907,2012-07-14,2012,7,14
"2012-1067",28.83426094,-80.44072723,20,23.03544376,2012-07-14,2012,7,14
"2012-1068",29.92023849,-80.28572845,54,15.16069984,2012-07-15,2012,7,15
"2012-1069",29.87870216,-80.28504944,54,15.64805007,2012-07-15,2012,7,15
"2012-1070",29.84887123,-80.28491974,54,13.61984077,2012-07-15,2012,7,15
"2012-1071",29.93358231,-80.29522705,57,15.3217001,2012-07-15,2012,7,15
"2012-1072",30.0658226,-80.27723694,53,14.0942502,2012-07-16,2012,7,16
"2012-1073",30.03078461,-80.27935028,54,13.99246661,2012-07-16,2012,7,16
"2012-1074",29.99608803,-80.28056335,54,14.41864999,2012-07-16,2012,7,16
"2012-1075",29.93954086,-80.30780792,55,16.12036641,2012-07-16,2012,7,16
"2012-1076",30.4441967,-80.20484161,57,14.9684,2012-07-17,2012,7,17
"2012-1077",30.40559387,-80.21455383,56,16.12540054,2012-07-17,2012,7,17
"2012-1078",34.33346939,-76.37917328,27,25.69580078,2012-07-26,2012,7,26
"2012-1079",34.55769348,-76.21619415,36,24.91639996,2012-07-27,2012,7,27
"2012-1080",34.53910446,-76.21012878,38,24.17856661,2012-07-27,2012,7,27
"2012-1081",34.5234642,-76.21414948,40,23.34700012,2012-07-27,2012,7,27
"2012-1082",34.56564331,-76.33560944,28,24.07710012,2012-07-28,2012,7,28
"2012-1083",34.54911423,-76.34148407,27,24.18144941,2012-07-28,2012,7,28
"2012-1084",34.52651978,-76.35398102,24,22.85379982,2012-07-28,2012,7,28
"2012-1086",34.60356903,-76.13643646,39,21.51880074,2012-07-29,2012,7,29
"2012-1088",34.57153702,-75.8407135,62,26.13540077,2012-07-30,2012,7,30
"2012-1091",34.70632553,-75.85184479,41,25.87209956,2012-08-01,2012,8,1
"2012-1092",34.7265625,-75.77090454,41,25.6959374,2012-08-01,2012,8,1
"2012-1094",34.85496902,-75.52619171,59,24.31413333,2012-08-02,2012,8,2
"2012-1096",34.89902878,-75.5224762,58,23.48754978,2012-08-03,2012,8,3
"2012-1097",34.90164948,-75.52116394,57,22.24433327,2012-08-03,2012,8,3
"2012-1098",35.00477219,-75.46240997,50,20.86933327,2012-08-04,2012,8,4
"2012-1099",34.97768402,-75.46117401,54,19.64567778,2012-08-04,2012,8,4
"2012-11",32.50539,-79.6907,16,22.90460014,2012-05-08,2012,5,8
"2012-1100",35.00507355,-75.45407867,50,20.92770004,2012-08-04,2012,8,4
"2012-1101",34.86053848,-75.52843475,59,21.56436602,2012-08-05,2012,8,5
"2012-1102",34.87192917,-75.50737762,58,20.14303335,2012-08-05,2012,8,5
"2012-1103",34.51837921,-76.35501099,24,26.26259995,2012-08-09,2012,8,9
"2012-1104",34.58189011,-76.31409454,27,26.8427996,2012-08-10,2012,8,10
"2012-1105",34.59488297,-76.31430054,27,26.8767286,2012-08-10,2012,8,10
"2012-1106",34.61604691,-76.15888214,38,22.08854961,2012-08-11,2012,8,11
"2012-1107",34.62881088,-76.15382385,38,21.97347498,2012-08-11,2012,8,11
"2012-1108",34.60201645,-76.20013428,39,21.63185024,2012-08-11,2012,8,11
"2012-1109",34.59199524,-76.2040329,37,20.79592514,2012-08-12,2012,8,12
"2012-111",34.45016,-76.61667,21,24.73800087,2012-07-12,2012,7,12
"2012-1110",34.60316086,-76.17822266,38,20.68837166,2012-08-12,2012,8,12
"2012-1111",34.62310028,-76.13795471,39,20.62853326,2012-08-12,2012,8,12
"2012-1114",34.51075745,-76.35585785,21,21.25962029,2012-08-13,2012,8,13
"2012-1115",34.61354828,-75.7972641,60,18.09499931,2012-08-14,2012,8,14
"2012-1116",34.65140915,-75.75180817,59,18.17539978,2012-08-14,2012,8,14
"2012-1117",34.66796875,-75.73812103,58,18.29347701,2012-08-14,2012,8,14
"2012-1118",34.93052673,-75.45744324,66,16.61136691,2012-08-16,2012,8,16
"2012-1119",34.92066956,-75.47032166,65,16.71633339,2012-08-16,2012,8,16
"2012-1120",34.92353439,-75.4677887,63,17.19995022,2012-08-16,2012,8,16
"2012-1121",34.91852951,-75.52631378,54,19.17655387,2012-08-17,2012,8,17
"2012-1122",34.92028046,-75.53131104,52,19.55520058,2012-08-17,2012,8,17
"2012-1123",34.9188652,-75.49851227,60,20.87999916,2012-08-17,2012,8,17
"2012-1124",34.49079132,-75.86499023,90,18.55750084,2012-08-19,2012,8,19
